Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,0,0,Porites astreoides,2176.8,1816.2,53.8,157.78,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,1,1,Empty,2379.0,1675.5,8.5,4.49,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,2,2,Porites astreoides,3411.0,2527.8,46.1,99.94,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,58,3,Porites astreoides,3156.1,1404.1,31.0,51.24,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,57,4,Porites astreoides,1477.9,5548.6,11.1,6.56,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,56,5,Porites astreoides,6040.6,1572.7,35.6,81.84,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,54,6,Unknown,5130.6,5971.6,40.7,69.93,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,53,7,Porites astreoides,5389.6,3917.0,18.9,22.48,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,51,8,Pseudodiploira clivosa,3529.6,5745.8,90.0,320.58,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,50,9,Porites astreoides,5379.5,6004.9,19.8,22.05,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,49,10,Porites astreoides,3642.0,5106.8,36.0,64.87,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,48,11,Porites astreoides,3552.6,5091.7,22.7,29.57,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,47,12,Porites astreoides,2236.6,5218.6,14.7,13.49,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,46,13,Pseudodiploria strigosa,1428.5,4747.4,11.6,9.16,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,45,14,Porites astreoides,2404.3,5366.4,52.9,106.71,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,44,15,Porites porites,1594.1,5205.1,7.9,2.98,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,43,16,Porites porites,1682.0,5208.6,17.5,6.29,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,42,17,Porites astreoides,1713.0,5227.9,21.0,29.23,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,41,18,Siderastrea siderea,2040.7,4917.7,23.1,34.63,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,40,19,Porites astreoides,1982.6,4924.6,17.0,16.46,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,39,24,Porites astreoides,1948.8,4994.5,34.9,77.5,0.0,
20250623_S1P1_Plot 3_coreg.png,2025-06-23,Region,38,20,Porites astreoides,1720.6,4859.8,35.6,72.03,0.0,
