Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,0,0,Porites astreoides,5950.6,5043.4,63.4,192.33,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,56,1,Porites astreoides,3424.1,16249.4,12.3,8.82,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,55,2,Porites astreoides,17309.4,4231.2,41.8,105.33,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,54,3,Porites astreoides,17651.5,17055.1,17.9,17.71,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,53,4,Unknown,14435.1,17767.9,44.6,81.25,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,50,5,Pseudodiploira clivosa,9654.5,17018.0,82.3,355.77,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,49,6,Porites astreoides,15180.2,17858.3,20.6,29.34,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,48,7,Porites astreoides,9987.6,14978.1,40.3,84.73,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,47,8,Porites astreoides,9697.0,14920.3,30.3,45.83,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,46,9,Porites astreoides,5721.7,15256.0,27.4,38.72,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,45,10,Pseudodiploria strigosa,3413.6,13842.2,16.8,15.68,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,44,11,Porites astreoides,6204.7,15722.6,42.5,60.48,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,41,12,Porites astreoides,4166.9,15335.8,17.8,20.21,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,40,13,Siderastrea siderea,5147.2,14314.6,25.4,43.11,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,39,14,Porites astreoides,4974.9,14333.7,13.5,10.91,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,38,15,Porites astreoides,4859.6,14554.1,39.5,99.62,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,37,16,Porites astreoides,4210.4,14147.2,39.7,94.73,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,34,17,Porites astreoides,3792.5,11248.8,51.1,153.23,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,33,18,Porites astreoides,15834.1,14587.2,15.5,15.93,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,32,19,Porites astreoides,15910.7,13080.5,104.1,266.8,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,31,20,Diploria labyrinthiformis,14916.3,13106.0,42.3,87.51,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,30,21,Porites astreoides,14622.1,12157.0,62.0,163.68,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,29,22,Porites astreoides,13295.3,12104.3,34.5,23.0,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,28,23,Pseudodiploria strigosa,11064.9,11517.4,15.5,14.92,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,27,24,Porites astreoides,8699.0,11916.3,12.7,9.06,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,26,25,Porites astreoides,8544.0,11867.6,23.6,35.32,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,21,26,Porites astreoides,14926.9,9124.6,113.6,333.7,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,20,27,Porites astreoides,14778.6,8376.1,23.9,33.1,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,19,28,Porites astreoides,14125.3,8016.9,40.1,80.76,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,15,29,Porites astreoides,6466.1,8490.6,14.2,12.66,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,14,30,Porites astreoides,5320.7,8595.0,17.0,19.54,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,13,31,Pseudodiploria strigosa,5938.1,7051.2,14.4,11.97,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,9,32,Porites astreoides,19422.9,5732.8,46.2,134.41,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,6,33,Orbicella faveolata,15958.7,4645.4,63.3,102.85,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,5,34,Orbicella faveolata,12893.4,6358.8,74.8,340.58,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,4,35,Diploria labyrinthiformis,11789.2,6425.0,53.5,181.55,0.0,
20260513_S1P1_Plot 3_coreg.png,2026-05-13,Region,2,36,Porites astreoides,9747.8,7421.7,43.1,90.92,0.0,
