Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,0,0,Porites astreoides,4594.5,3855.4,56.7,203.7,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,55,1,Porites astreoides,12801.6,3243.8,38.3,94.07,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,54,2,Porites astreoides,13045.6,12076.7,28.5,29.48,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,53,3,Unknown,10633.6,12512.8,52.7,150.29,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,50,4,Pseudodiploira clivosa,7335.4,12097.9,73.5,317.41,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,49,5,Porites astreoides,11188.2,12600.0,21.6,29.16,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,48,6,Porites astreoides,7619.2,10755.2,36.6,66.66,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,47,7,Porites astreoides,7450.7,10744.6,27.7,43.41,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,46,8,Porites astreoides,4693.8,11046.3,18.2,22.62,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,45,9,Pseudodiploria strigosa,2965.9,10037.9,15.7,15.99,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,44,10,Porites astreoides,4984.3,11369.2,49.9,56.47,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,40,11,Siderastrea siderea,4274.8,10446.6,26.6,44.89,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,39,12,Porites astreoides,4156.3,10460.8,16.5,15.85,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,38,13,Porites astreoides,4074.1,10610.5,38.0,93.62,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,37,14,Porites astreoides,3590.1,10307.8,38.2,69.05,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,35,15,Porites astreoides,3972.0,9362.1,25.2,36.54,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,34,16,Porites astreoides,3273.7,8300.1,52.3,159.55,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,33,17,Porites astreoides,11398.8,10149.6,16.4,17.67,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,32,18,Porites astreoides,11773.9,9351.8,91.6,293.01,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,31,19,Diploria labyrinthiformis,10993.6,9311.5,38.2,80.6,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,30,20,Porites astreoides,10672.6,8601.1,76.0,259.93,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,29,21,Porites astreoides,9602.7,8463.6,36.8,60.3,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,14,22,Porites astreoides,4258.2,6387.3,19.1,24.54,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,27,23,Porites astreoides,6657.0,8628.1,12.3,9.04,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,26,24,Porites astreoides,6554.1,8587.9,19.9,24.57,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,24,25,Porites astreoides,13893.1,7212.5,22.4,29.28,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,22,26,Pseudodiploria strigosa,13697.2,5974.5,14.2,11.77,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,21,27,Porites astreoides,10863.7,6508.5,110.5,491.43,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,20,28,Porites astreoides,10755.1,5995.0,28.8,53.31,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,19,29,Porites astreoides,10168.5,5653.9,39.3,83.25,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,18,30,Porites porites,6207.5,5897.6,31.5,42.06,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,11,31,Porites astreoides,8178.0,4817.5,29.8,31.29,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,10,32,Porites porites,14057.5,4766.7,18.2,17.51,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,9,33,Porites astreoides,14242.6,4216.2,39.3,96.68,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,64,34,Orbicella faveolata,11617.7,2504.1,50.5,103.8,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,5,35,Orbicella faveolata,9236.8,4488.1,79.0,337.21,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,4,36,Diploria labyrinthiformis,8452.3,4549.0,47.6,142.12,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,2,37,Porites astreoides,7045.3,5262.5,39.0,75.5,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,1,38,Porites porites,4661.5,3572.4,10.9,6.69,0.0,
202512_S1P1_Plot 3_coreg.png,2025-12-01,Region,6,39,Orbicella faveolata,11778.2,3527.8,62.5,103.08,0.0,
