Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,0,0,Diploria labyrinthiformis,415.8,10931.3,41.1,106.5,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,4,1,Porites astreoides,1821.1,5299.9,31.9,57.62,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,6,2,Pseudodiploria strigosa,2905.1,5944.1,28.9,54.49,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,5,3,Porites astreoides,3346.0,5289.9,30.1,47.16,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,3,4,Porites astreoides,2451.0,6312.3,25.5,34.74,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,50,5,Porites astreoides,15650.0,14044.5,58.4,104.55,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,56,6,Porites astreoides,16821.3,12076.8,38.2,86.58,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,49,7,Porites astreoides,15867.6,11724.1,44.5,103.67,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,55,8,Pseudodiploria strigosa,17344.3,11301.3,17.2,19.69,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,53,9,Porites astreoides,16985.8,6376.1,39.5,95.66,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,52,10,Porites astreoides,17128.1,4489.3,33.2,61.23,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,46,11,Pseudodiploria strigosa,16466.9,4189.7,24.6,38.87,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,45,12,Porites astreoides,16502.4,3578.2,14.6,13.08,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,26,13,Porites astreoides,16692.0,3568.1,19.7,18.04,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,65,14,Pseudodiploria strigosa,15357.6,5863.4,16.9,19.02,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,27,15,Porites astreoides,13142.1,5887.8,42.7,96.22,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,44,16,Porites astreoides,13769.8,4158.4,21.5,23.47,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,47,17,Porites astreoides,16104.2,5444.1,31.3,58.97,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,66,18,Porites astreoides,14825.9,7255.8,15.2,14.21,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,42,19,Porites astreoides,14044.7,9299.5,44.6,92.13,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,41,20,Porites astreoides,14945.9,11730.3,21.8,26.59,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,39,21,Porites astreoides,14681.4,17776.0,16.4,15.91,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,38,22,Porites astreoides,14915.5,17940.0,53.4,94.94,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,67,23,Porites astreoides,14450.8,17445.6,23.2,29.19,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,37,24,Porites astreoides,13280.8,17691.7,26.2,36.47,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,36,25,Porites astreoides,12918.2,16873.5,39.8,66.38,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,35,26,Porites astreoides,12646.6,16238.0,23.5,32.77,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,34,27,Porites astreoides,12893.4,16414.5,53.5,87.16,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,33,28,Porites astreoides,13429.9,16540.1,31.2,46.84,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,32,29,Porites astreoides,13292.1,15977.7,71.8,121.2,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,68,30,Empty,13590.5,15600.4,0.1,0.08,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,31,31,Porites astreoides,13573.6,15625.3,39.8,43.65,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,29,32,Porites astreoides,12771.8,15204.9,16.5,16.33,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,30,33,Porites astreoides,12261.1,15924.1,21.9,22.94,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,28,34,Porites astreoides,13592.6,8341.9,22.0,17.6,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,23,35,Porites astreoides,10305.2,17139.3,18.2,22.24,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,22,36,Porites astreoides,9850.4,17289.1,21.8,25.02,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,21,37,Orbicella faveolata,8646.3,6465.4,23.5,37.27,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,2,38,Orbicella faveolata,8638.9,6729.8,27.5,44.53,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,19,39,Porites astreoides,8778.5,11192.7,54.8,87.61,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,15,40,Porites astreoides,6470.7,13373.3,49.0,84.67,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,14,41,Porites astreoides,6251.3,7978.8,26.5,44.11,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,11,42,Porites astreoides,5995.1,7309.8,124.5,300.31,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,12,43,Porites astreoides,6456.2,7294.4,25.3,35.05,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,7,44,Porites astreoides,4211.4,8068.9,38.5,90.2,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,10,45,Porites porites,5583.0,9333.9,22.5,19.04,0.0,
20260513_S1P1_Plot Y_coreg.png,2026-05-13,Region,1,46,Porites astreoides,721.2,16758.6,52.2,98.73,0.0,
