Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
20260513_S1P1_Plot X.jpg,2025-06-13,Region,37,0,Porites astreoides,4727.1,4386.4,99.4,456.63,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,10,1,Pseudodiploria strigosa,5219.7,20966.2,16.8,18.22,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,9,2,Porites astreoides,2183.3,21430.3,46.0,57.66,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,18,3,Porites astreoides,5040.1,24888.9,30.3,54.42,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,17,4,Porites astreoides,4127.9,25043.1,54.9,82.51,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,38,5,Porites astreoides,6455.4,18178.0,26.9,42.27,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,13,6,Pseudodiploria strigosa,6905.5,10877.6,17.9,18.96,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,23,7,Unknown,8220.6,17872.5,31.6,53.83,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,20,8,Diploria labyrinthiformis,10227.5,22589.2,47.5,153.39,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,39,9,Porites astreoides,10178.6,9147.6,20.5,24.42,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,40,10,Unknown,9957.9,8590.4,26.0,27.26,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,29,11,Porites astreoides,12038.1,11518.8,58.2,104.25,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,41,12,Unknown,12721.4,22890.9,23.2,25.12,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,42,13,Unknown,14102.6,21441.9,235.3,1547.74,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,43,14,Porites astreoides,12782.6,14154.8,10.3,6.95,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,35,15,Porites astreoides,13429.4,12239.5,22.4,29.69,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,44,16,Porites astreoides,16193.5,2045.6,34.5,73.25,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,45,17,Porites astreoides,15479.0,4097.4,72.0,202.31,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,46,18,Porites astreoides,15152.5,4129.1,12.0,8.7,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,47,19,Porites astreoides,14546.5,9516.0,24.8,36.94,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,48,20,Porites astreoides,17393.2,18558.2,12.9,9.31,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,49,21,Porites astreoides,17145.4,17223.3,25.4,32.8,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,33,22,Porites astreoides,16811.7,8705.0,31.4,59.83,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,50,23,Pseudodiploria strigosa,19151.4,8920.5,18.5,21.53,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,36,24,Porites porites,2012.2,12707.2,14.1,8.32,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,5,25,Porites astreoides,2755.9,13021.8,32.8,60.89,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,4,26,Porites porites,3076.3,9599.0,9.8,5.47,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,7,27,Porites astreoides,2744.1,17633.4,95.2,225.33,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,11,28,Porites porites,5180.8,19296.6,11.7,6.34,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,12,29,Porites astreoides,4071.7,18696.3,26.2,31.23,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,15,30,Porites porites,6701.1,14702.8,15.9,10.63,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,19,31,Porites astreoides,8085.5,24440.4,46.1,104.99,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,27,32,Porites astreoides,9826.9,8613.5,21.5,23.78,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,28,33,Porites porites,10866.7,11074.5,20.5,18.24,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,32,34,Porites astreoides,14527.7,24588.1,33.7,67.48,0.0,
20260513_S1P1_Plot X.jpg,2025-06-13,Region,2,35,Porites astreoides,2829.6,10656.1,34.7,39.84,0.0,
