Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,2,0,Stephanocoenia intersepta,8505.6,7054.7,44.8,122.22,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,4,1,Porites astreoides,12418.3,5950.1,18.9,18.7,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,3,2,Porites astreoides,11172.4,8933.7,32.4,67.45,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,0,3,Porites astreoides,10335.9,9117.3,42.1,45.64,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,18,4,Porites astreoides,10317.8,9311.1,13.1,9.72,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,0,5,Porites astreoides,7676.1,10219.1,42.9,116.9,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,1,6,Porites astreoides,8010.1,10312.2,56.2,179.21,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,5,9,Stephanocoenia intersepta,10039.0,14036.4,44.4,84.33,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,6,10,Porites astreoides,9295.2,15702.9,24.3,37.93,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,8,11,Porites astreoides,9443.0,16629.8,37.5,81.61,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,9,12,Porites porites,9630.5,17525.8,45.2,68.19,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,11,13,Porites astreoides,11011.8,17400.6,29.9,54.15,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,14,15,Porites astreoides,15059.0,16217.1,34.1,64.26,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,13,16,Porites astreoides,14823.7,17915.7,67.3,156.65,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,15,17,Porites astreoides,17203.3,16206.9,54.2,134.73,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,16,18,Stephanocoenia intersepta,8687.8,18503.3,48.9,106.16,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,10,14,Porites astreoides,10575.9,17656.4,20.4,26.77,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,4,19,Porites astreoides,8286.9,14938.8,30.3,41.93,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,7,20,Stephanocoenia intersepta,8620.2,16147.8,24.5,29.09,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,12,21,Porites astreoides,11680.4,18714.2,42.0,76.25,0.0,
20250414_S2P2_Plot 2.jpg,2025-04-14,Region,17,7,Colpophyllia natans,8514.2,18447.7,21.3,29.37,0.0,
